EJER;SEXO;CCAA;MODELO;M714_1;M714_2;M714_3;M714_4;M714_5;M714_6;M714_7;M714_8;M714_9;M714_10;M714_11;M714_12;M714_13;M714_14;M714_15;M714_16;M714_17;M714_18
2023;1;13;714;68288518701,250000;91185798004,910000;159474316706,160000;16530385707,820000;5400474700,440000;1118067142,520000;134809736719,000000;2050318851,120000;569872676,840000;4395935608,850000;85950085727,450000;8810200000,000000;77686412187,760000;1688098650,070000;707180184,770000;706760905,720000;345262229,240000;12586
2023;2;13;714;40031717168,840000;74684882881,220000;114716600050,060000;16244369501,470000;5091251127,630000;1043633193,560000;91501693459,680000;1942755316,920000;391572709,860000;3592575868,570000;71834088021,030000;8362900000,000000;63813636654,280000;1285944211,890000;475733616,710000;475459136,720000;224009202,770000;11947
2023;1;14;714;6090179221,070000;2757925433,640000;8848104654,710000;709640975,000000;141110655,000000;138981831,990000;7722313997,050000;90875569,570000;13875240,330000;172417040,770000;2589344787,780000;3907900000,000000;646268685,140000;11930662,350000;6139569,790000;6139569,790000;6139569,790000;1057
2023;2;14;714;3278193628,590000;2217466624,250000;5495660252,840000;669655280,150000;136011406,440000;71860054,750000;4518357053,540000;99607374,560000;5551766,180000;130628723,660000;2143458855,920000;3341100000,000000;470258135,810000;8305424,410000;2915909,290000;2915909,290000;2915909,290000;903
2023;1;17;714;2179938472,830000;2292957100,650000;4472895573,480000;728750471,620000;146052037,270000;50542362,120000;3548459013,080000;43915185,880000;4466032,810000;96762507,970000;2223627824,750000;835100000,000000;1407358653,900000;15385737,540000;8863331,390000;8863308,560000;8863308,560000;1193
2023;2;17;714;1297331017,740000;2236053300,600000;3533384318,340000;765589293,270000;156377387,120000;33387243,950000;2614265075,120000;51734550,670000;2006626,200000;66401529,130000;2194043349,260000;911400000,000000;1291616669,040000;11766151,670000;7367352,110000;7367352,110000;7367352,110000;1302
2023;1;10;714;27935070230,870000;22681118997,070000;50616189227,940000;7740358466,180000;1789117784,440000;526695544,050000;40551704911,350000;719731288,930000;114745774,060000;962953243,370000;21551420710,060000;7188500000,000000;14531430288,380000;188298007,420000;105448745,700000;105400837,330000;105400837,330000;14162
2023;2;10;714;15927743421,660000;21505956038,790000;37433699460,450000;8220042830,090000;1831137340,660000;538725525,380000;27088659645,130000;823151091,180000;48475341,060000;714645027,610000;20864878813,340000;7435700000,000000;13540126865,850000;162484251,980000;91327860,050000;91225729,940000;91225729,940000;14659
2023;1;77;714;1724754203,720000;15107207474,000000;16831961677,720000;12210852062,310000;84047840,270000;77041886,290000;4227732489,250000;22831961,120000;40734898,580000;252768380,170000;12967671557,740000;5300000000,000000;7759693979,690000;78634402,310000;77433060,010000;75488720,890000;59704271,240000;7561
2023;2;77;714;682754855,680000;8681510266,690000;9364265122,370000;7088189985,400000;49422553,510000;43983273,530000;2055761737,560000;23357575,640000;6747403,920000;146225146,320000;7883239722,400000;3528700000,000000;4413986225,070000;39521171,750000;38230969,730000;36816546,730000;27440765,530000;5041
2022;1;1;714;14586024662,840000;13503625090,450000;28089649753,290000;4256923628,990000;1156838113,910000;968467422,640000;21663119942,910000;436393772,370000;75952340,820000;688792645,560000;12584695656,090000;4757900000,000000;8268062419,810000;101595375,310000;60350584,220000;60282887,610000;0,000000;6515
2022;2;1;714;9312067900,470000;10835920207,460000;20147988107,930000;4005963420,760000;1088603965,370000;901441615,080000;14255384541,930000;451454377,250000;18847923,310000;514896229,600000;10302062361,170000;4497250000,000000;6176444841,680000;64427262,770000;37611314,480000;37592309,870000;0,000000;6192
2022;1;2;714;6499932762,200000;8437684798,500000;14937617560,700000;2938692550,560000;785666494,210000;221055963,830000;11242175947,110000;244717639,930000;23370772,680000;267604686,590000;8012664016,650000;3050400000,000000;4990457013,690000;41708266,770000;28057571,200000;28053783,090000;28052811,120000;7626
2022;2;2;714;4435713819,910000;8653061804,580000;13088775624,490000;3335816091,380000;906624857,190000;206218853,360000;8914682738,860000;332500112,760000;9272459,940000;290285368,190000;8420681236,400000;3300800000,000000;5139998055,430000;42131812,320000;27374507,900000;27374495,450000;27372996,390000;8252
2022;1;3;714;1825623922,560000;3015988623,250000;4841612545,810000;966730497,020000;239291970,200000;108662457,550000;3554442241,480000;65283131,900000;8717731,770000;137776486,090000;2874059192,980000;1355200000,000000;1562134899,040000;15485267,930000;10176015,440000;10174685,930000;10170755,300000;1936
2022;2;3;714;1639194218,320000;3313186644,420000;4952380862,740000;1151434216,660000;295562369,190000;92628400,600000;3438607202,790000;102841436,340000;5257919,370000;161611686,980000;3208986101,800000;1528100000,000000;1709105903,350000;17136274,750000;10583556,430000;10582731,950000;10483316,700000;2183
2022;1;4;714;7931344215,270000;9676027308,450000;17607371523,720000;4159195170,300000;1021087662,300000;334216850,860000;12146874910,220000;346796650,830000;47470430,660000;572817510,850000;8857923552,230000;3322900000,000000;5613443443,150000;86684327,300000;46187886,800000;46119196,830000;46114975,820000;4747
2022;2;4;714;5065079069,160000;8208882133,410000;13273961202,570000;3868286215,280000;938656230,000000;197399192,550000;8474721594,620000;379180206,050000;17969591,520000;336404402,550000;7788745443,350000;3009300000,000000;4832665131,960000;73368918,060000;36858301,950000;36827207,140000;36827207,140000;4299
2022;1;5;714;7832577214,570000;5946971503,240000;13779548717,810000;2144555494,480000;471249528,830000;351421431,940000;10829658202,670000;127149341,100000;32593488,980000;294170758,640000;5569012769,490000;2447900000,000000;3296070336,720000;37334294,550000;21072149,770000;21047685,250000;21047685,250000;3497
2022;2;5;714;4939131035,970000;5511059801,510000;10450190837,480000;2230100292,390000;460543986,650000;205025754,370000;7593762331,260000;123620501,380000;14055067,430000;283626890,650000;5240327316,310000;2365300000,000000;2997745165,030000;30548726,430000;17364696,630000;17364176,330000;17364176,330000;3379
2022;1;6;714;1917719136,700000;2574540037,410000;4492259174,110000;810026049,630000;217973810,790000;52961836,280000;3476446147,100000;49667474,270000;4168934,130000;98988732,700000;2445621945,330000;961100000,000000;1495621793,330000;20888605,400000;11786574,900000;11786574,900000;11786574,900000;1373
2022;2;6;714;1320320880,040000;2690070460,830000;4010391340,870000;981387478,750000;255511621,380000;33817556,940000;2786260276,090000;111950119,870000;1957663,390000;95018245,830000;2599875411,230000;1139600000,000000;1472878986,250000;16328836,480000;9637223,730000;9636274,340000;9636274,340000;1628
2022;1;8;714;2388557377,840000;3009258911,310000;5397816289,150000;1133610456,800000;201215984,050000;85159681,500000;3986238547,510000;81951797,030000;4527099,250000;106328707,060000;2894019629,270000;1371300000,000000;1563332590,010000;14355749,910000;9272771,690000;9257160,590000;9257160,590000;1959
2022;2;8;714;1455347511,880000;2819676888,020000;4275024399,900000;1195259872,120000;201075669,440000;69793712,540000;2826460056,890000;94805035,280000;2130460,390000;86575262,680000;2762395782,380000;1403500000,000000;1397372344,620000;10549393,710000;6881095,550000;6881091,260000;6881091,260000;2005
2022;1;7;714;4063844219,560000;6274042034,320000;10337886253,880000;1926543854,870000;380244363,470000;172586740,820000;7877066022,050000;127267693,140000;16810141,720000;217611801,280000;6004024395,010000;2703400000,000000;3385883674,640000;33480859,600000;23035820,910000;23032994,050000;23031366,670000;3862
2022;2;7;714;3052316557,140000;5870784353,340000;8923100910,480000;1912000330,680000;376376715,590000;157612798,600000;6491357135,960000;149698370,560000;6263353,710000;206168920,970000;5702020119,280000;2647400000,000000;3114678728,780000;27894553,310000;17287378,040000;17284668,650000;17281303,850000;3782
2022;1;9;714;61333084623,950000;77959372258,290000;139292456882,240000;28231116636,740000;7865008104,550000;2034602951,390000;101576346990,860000;2693456713,770000;306758701,260000;4450174888,220000;73298415966,850000;21546700000,000000;52139867908,690000;730839440,270000;359656336,780000;359446025,890000;359125565,230000;43065
2022;2;9;714;31940111271,530000;66369202866,220000;98309314137,750000;29414582910,100000;7756573195,710000;1697464639,060000;61665454286,160000;3292480430,380000;100872261,000000;2138459611,050000;63854616948,430000;22160500000,000000;41910303694,100000;464318206,350000;248162234,790000;247988137,700000;247827634,710000;44317
2022;2;11;714;634729014,000000;707863882,910000;1342592896,910000;276411598,280000;46833432,670000;36619620,840000;973236979,200000;26989239,940000;1103199,930000;28232258,720000;693984755,580000;318300000,000000;379830042,410000;3558796,610000;2592801,050000;2586179,950000;2586179,950000;623
2022;1;11;714;795751234,590000;755795217,050000;1551546451,640000;249154819,400000;46624765,670000;31594740,950000;1204984226,000000;19754044,540000;2103684,630000;43954936,120000;725951593,440000;311200000,000000;420418093,740000;4409758,620000;3110579,570000;3110579,570000;3110579,570000;613
2022;1;12;714;30908810628,330000;7833833071,450000;38742643699,780000;2326119836,760000;496290312,930000;127523400,830000;35685235673,710000;156168364,790000;130423059,990000;317173363,700000;7361421217,800000;2896600000,000000;4565621738,790000;51815580,170000;38614205,540000;38613734,860000;28960301,150000;4138
2022;2;12;714;9776398432,770000;10461022439,350000;20237420872,120000;2647887661,100000;562547863,740000;159007123,530000;16364115698,550000;594618763,870000;137454615,960000;334337009,110000;10160218023,740000;3147200000,000000;7111109713,900000;113404790,040000;53919373,200000;53919360,420000;40439520,320000;4496
2022;1;13;714;64186416920,330000;86863643573,900000;151050060494,230000;15689974196,250000;4993807699,200000;1055482237,110000;127727602879,060000;1887527514,320000;537321054,090000;4152152613,410000;81943640149,350000;8420300000,000000;73799955647,990000;1608296271,650000;753452631,210000;753146745,350000;0,000000;12029
2022;2;13;714;37354659603,790000;71162848904,670000;108517508508,460000;15283402526,340000;4693605074,980000;978712842,550000;86296581379,720000;2004003642,610000;429637446,560000;3525170670,680000;68514203343,100000;8019900000,000000;60715406744,160000;1232494674,480000;506717627,900000;506559250,090000;0,000000;11457
2022;1;14;714;4880317349,870000;3884522851,970000;8764840201,840000;1335615128,420000;242010240,960000;177189370,530000;6908490085,110000;117128053,970000;15199143,610000;211218420,200000;3683370861,180000;1572200000,000000;2182457357,010000;25759351,780000;16358352,190000;16352626,270000;16352626,270000;2246
2022;2;14;714;3634734443,460000;3703931938,110000;7338666381,570000;1401099270,890000;257564732,870000;112388970,530000;5501886725,270000;152198139,900000;7079699,820000;164013575,160000;3584588184,500000;1547700000,000000;2086993679,990000;24552205,330000;12337135,620000;12332744,570000;12332744,570000;2211
2022;1;17;714;1873901665,690000;2205057464,680000;4078959130,370000;731910245,490000;139800840,930000;49149740,630000;3172001083,430000;42258518,120000;4477834,920000;79161707,780000;2117472488,720000;828100000,000000;1308070306,860000;13963236,270000;7655803,910000;7655803,910000;7655803,910000;1183
2022;2;17;714;1261753752,300000;2150363298,920000;3412117051,220000;753461154,900000;150010169,020000;33938591,490000;2505404882,470000;49744808,130000;2190740,560000;67376873,670000;2094689850,670000;892500000,000000;1211642687,840000;10974239,800000;6710831,420000;6710831,420000;6708185,980000;1275
2022;1;10;714;22638852209,070000;21534159546,450000;44173011755,520000;7564809244,870000;1712594033,490000;538291215,170000;34343851521,040000;647785735,970000;84702166,340000;993571872,130000;20354842132,590000;6979900000,000000;13543511437,150000;172419947,030000;98432153,150000;98359860,850000;98359860,850000;13741
2022;2;10;714;15424683831,280000;20531460261,390000;35956144092,670000;8053749161,890000;1760085440,990000;550650074,930000;25858198244,030000;766346244,180000;49174547,940000;678025819,700000;19822441702,730000;7235700000,000000;12692532858,530000;149844945,450000;88297907,770000;88227675,520000;88227675,520000;14268
2022;1;77;714;1657425708,250000;13628401842,000000;15285827550,250000;10846262860,990000;85617096,220000;90520127,260000;4052181458,550000;27762194,570000;35776450,850000;233324458,030000;11695899518,350000;4839000000,000000;6951137509,660000;71759905,200000;70649218,200000;68913726,770000;42339349,080000;6927
2022;2;77;714;592753382,230000;7688403678,270000;8281157060,500000;6261794284,530000;56065337,390000;40507662,320000;1825847248,460000;21625834,610000;7360445,700000;124021584,880000;6939574520,170000;3172700000,000000;3822064699,210000;33901436,140000;32876894,650000;31570968,680000;20681239,330000;4541
