EJER;CCAA;SECTOR;TIPOPER;MODELO;M390_1;M390_2;M390_3;M390_4;M390_5;M390_6;M390_7;M390_8;M390_9;M390_10;M390_11;M390_12;M390_13;M390_14;M390_15;M390_16;M390_17;M390_18;M390_19;M390_20;M390_21;M390_22;M390_23;M390_24;M390_25;M390_26;M390_27;M390_28;M390_29;M390_30;M390_31;M390_32;M390_33;M390_34;M390_35;M390_36;M390_37;M390_38;M390_39
2024;1;6;0;390;144480011,760000;29130178,580000;29135152,920000;7562202,040000;657572,950000;20755,940000;208445,110000;290587,490000;0,000000;8681455,250000;20453697,670000;0,000000;254646249,510000;140450945,370000;43947195,420000;23124103,820000;2301107,430000;37373712,910000;101254351,240000;212133568,800000;140732422,390000;41292608,820000;170868000,880000;3590429,130000;65540318,730000;20453721,070000;0,000000;20524574,410000;19896690,950000;19967544,290000;21524885,080000;1510,000000;798043,620000;829416,020000;70853,340000;0,000000;0,000000;6866;0
2024;1;6;1;390;2707429260,960000;546595056,440000;546644255,470000;325596858,890000;7769606,000000;4428625,230000;9496328,220000;27312736,410000;1708,550000;367993106,130000;178651149,340000;0,000000;3601186016,790000;2339336761,570000;460254483,720000;149363963,550000;15576210,880000;540412272,120000;943292149,380000;3077226028,950000;2355384554,110000;1844937121,750000;1232328740,430000;38584814,830000;539104465,130000;178651965,450000;1301226,580000;183359754,360000;174145638,490000;177552200,820000;223808592,680000;14468123,860000;22029131,610000;7120607,720000;4707788,910000;14046739,060000;20092636,940000;4931;54
2024;1;7;0;390;142619309,080000;29146908,850000;29147233,480000;4553686,940000;676876,860000;3590,470000;97022,620000;57284,890000;6,590000;5323474,270000;23823759,210000;0,000000;177423416,130000;140950342,940000;6730790,990000;3768560,250000;18807683,260000;4916630,240000;116067464,020000;170945878,710000;140624633,370000;24606471,460000;146394185,370000;3048465,770000;9925262,510000;23825488,920000;0,000000;23834315,360000;23577268,120000;23586094,560000;24201085,260000;0,000000;204144,820000;420095,970000;8826,440000;0,000000;0,000000;5212;0
2024;1;7;1;390;718398165,330000;136196010,690000;136221499,880000;82966385,500000;3971682,230000;405628,170000;2163646,330000;2366025,360000;1056960,460000;90466815,620000;45754684,260000;0,000000;7769972402,720000;607660802,970000;61370117,260000;50504319,210000;6535812340,320000;494724933,560000;237042744,600000;7308515253,090000;594349197,680000;646898356,730000;6661665036,240000;22886133,230000;46652261,330000;45755184,940000;0,000000;46089953,180000;44021988,390000;44356756,630000;30285613,370000;281209,560000;2269245,380000;2311484,760000;334768,240000;29055202,750000;10457717,570000;1884;31
2024;1;8;0;390;3212986785,680000;657424145,800000;657451253,060000;136927496,500000;14703652,380000;740115,910000;2192738,510000;1513500,230000;101191,200000;155149249,480000;502302003,580000;13866,330000;3534213217,950000;3100106540,060000;95976970,580000;62189740,580000;38442642,890000;66581397,680000;2428533768,590000;3394432921,210000;3173730111,510000;739846983,880000;2658836645,980000;73892530,800000;139283793,550000;502317733,810000;0,000000;503263756,110000;496242143,850000;497188166,150000;509091201,840000;19234,300000;4950539,240000;7883385,440000;946022,300000;0,000000;0,000000;80511;0
2024;1;8;1;390;13734276570,940000;2650222270,110000;2650279974,720000;1554253496,580000;71593494,720000;47048084,180000;66726093,760000;44323757,770000;3185769,340000;1743449864,720000;906830110,000000;0,000000;17203164720,440000;12889487166,450000;1018597832,320000;1094375530,750000;329863682,490000;737742024,310000;5048167091,250000;15819240759,340000;12941986792,100000;9168750476,180000;6694597280,000000;294101279,170000;1219013907,050000;906760794,690000;39953185,440000;953830586,520000;891832633,740000;898949240,130000;1103077490,460000;163245162,290000;44545138,480000;45813366,820000;47069791,830000;78665414,760000;36309171,040000;31773;301
2024;1;9;0;390;237204647,150000;45488482,270000;45491403,530000;13394550,800000;2280965,300000;11267,700000;353535,600000;185723,500000;3451,230000;15893715,290000;29597688,240000;111886,730000;329803488,850000;230237513,980000;4444045,960000;6072981,520000;79676989,130000;3842945,190000;154710087,410000;327679424,100000;229920647,670000;78789624,430000;247776033,030000;12247197,150000;8446937,690000;29708620,080000;0,000000;29765055,380000;28663663,440000;28720098,740000;30741043,680000;0,000000;547178,330000;1530179,710000;56435,300000;0,000000;0,000000;11597;0
2024;1;9;1;390;1722895809,170000;215761334,080000;215776484,820000;124189417,490000;13775426,770000;437869,030000;2264094,850000;3353417,880000;3550,460000;140416593,060000;75359891,760000;0,000000;3798227536,870000;1601950693,350000;24754439,460000;125291439,920000;1933854635,330000;44670082,150000;903340234,540000;3778801141,840000;1618837773,070000;1127605506,500000;2651522027,540000;124898510,150000;126336858,710000;75426288,370000;4179,920000;75828166,840000;68282340,390000;68680038,940000;105606240,880000;422005,820000;28259019,580000;8058961,670000;401878,470000;4447446,630000;5031846,330000;5722;54
2024;1;10;0;390;4130615457,750000;526696758,130000;526733709,920000;362935214,040000;14716882,780000;218554,170000;2052997,690000;1342998,110000;50416,310000;375095106,420000;151638603,500000;11012882,370000;4522474340,330000;4094455029,080000;17752898,840000;14452134,700000;15677864,330000;12507862,290000;1887478227,530000;4860693868,410000;4094612511,950000;2779436160,230000;1939933545,890000;78671847,840000;16843265,250000;162675526,190000;51,870000;163152797,400000;144771744,370000;145248963,710000;184096193,150000;25380,940000;16019136,330000;23258258,420000;477271,210000;0,000000;0,000000;82833;0
2024;1;10;1;390;15664944473,790000;2039571161,630000;2039639131,300000;1410206632,830000;112824499,100000;4833872,810000;49890497,240000;43128205,780000;267464,170000;1583802955,900000;455836175,400000;200182,470000;15929982743,790000;14978137337,630000;109732246,590000;50870379,760000;561188724,320000;120450707,210000;6686045200,690000;16079062209,570000;14945492547,540000;8837554126,350000;7238838285,300000;573111633,000000;-108838157,860000;456096641,930000;350396,330000;460839661,660000;399225549,270000;403618172,670000;549753025,340000;27522906,910000;63444281,340000;72988422,620000;4743019,730000;35361012,550000;21935941,280000;29808;209
