EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2024;77;99;1;190;14216;289565143,3600000;12590,0000000
2023;8;2;1;190;47570;806203145,2000000;43517,0000000
2023;8;2;2;190;40634;548635641,9200000;37391,0000000
2023;10;3;1;190;184976;3172661058,5800000;169545,0000000
2023;10;3;2;190;189008;2503097070,6800000;174090,0000000
2023;1;4;2;190;64725;838210281,5500000;59770,0000000
2023;1;4;1;190;63663;1055814559,9000000;58291,0000000
2023;7;5;1;190;26065;416713020,6500000;23040,0000000
2023;7;5;2;190;21685;288183776,5000000;19491,0000000
2023;11;6;1;190;88066;1361539317,1300000;79706,0000000
2023;11;6;2;190;80885;983625473,9900000;70195,0000000
2023;4;7;2;190;117785;1693056824,9300000;106426,0000000
2023;4;7;1;190;110944;2024957947,4100000;98317,0000000
2023;9;8;2;190;789578;12034276270,7600000;677996,0000000
2023;9;8;1;190;702752;14243829802,9100000;592849,0000000
2023;7;9;2;190;50296;749219306,1400000;44688,0000000
2023;7;9;1;190;57010;1164284010,3700000;49059,0000000
2023;11;10;1;190;58496;931616668,7600000;53078,0000000
2023;11;10;2;190;56592;716106456,4000000;49935,0000000
2023;1;11;2;190;128563;1816659590,3100000;119622,0000000
2023;1;11;1;190;151050;2860527604,4600000;137010,0000000
2023;10;12;1;190;73111;1350330804,1400000;66632,0000000
2023;10;12;2;190;73757;1008755068,0700000;67353,0000000
2023;8;13;1;190;65599;1126766715,0300000;60049,0000000
2023;8;13;2;190;53623;717729765,4000000;49569,0000000
2023;1;14;2;190;99111;1327754363,8700000;92688,0000000
2023;1;14;1;190;93894;1611622049,6200000;86904,0000000
2023;12;15;2;190;178052;2417780812,4100000;161282,0000000
2023;12;15;1;190;167661;3058992403,1400000;149842,0000000
2023;8;16;1;190;28833;449291994,7800000;26335,0000000
2023;8;16;2;190;24286;312711958,0700000;22374,0000000
2023;9;17;2;190;99138;1393372458,9700000;83557,0000000
2023;9;17;1;190;92762;1648762051,4000000;77918,0000000
2023;1;18;1;190;107644;1889536948,1400000;98108,0000000
2023;1;18;2;190;111943;1577098463,8500000;103091,0000000
2023;8;19;2;190;24265;356369676,5700000;21923,0000000
2023;8;19;1;190;29807;584468660,9100000;26008,0000000
2023;1;21;2;190;56699;759131802,7500000;52804,0000000
2023;1;21;1;190;59848;1071306630,8200000;55103,0000000
2023;2;22;2;190;30009;433562563,6100000;26818,0000000
2023;2;22;1;190;32044;594878204,1300000;28584,0000000
2023;1;23;1;190;82750;1346977617,0300000;76533,0000000
2023;1;23;2;190;79726;1025856861,1900000;74844,0000000
2023;7;24;2;190;73279;1082420097,7300000;66882,0000000
2023;7;24;1;190;79608;1618440329,5800000;71575,0000000
2023;9;25;2;190;61747;809329345,3100000;51160,0000000
2023;9;25;1;190;58719;978184915,6900000;49071,0000000
2023;17;26;1;190;43411;817368493,4300000;38123,0000000
2023;17;26;2;190;40887;589147597,4000000;36343,0000000
2023;12;27;2;190;60552;790615296,8800000;55748,0000000
2023;12;27;1;190;56762;923289301,5500000;52089,0000000
2023;13;28;2;190;771681;12986861698,7100000;677728,0000000
2023;13;28;1;190;735716;16200479619,6700000;624912,0000000
2023;1;29;2;190;165862;2297784546,4800000;153866,0000000
2023;1;29;1;190;162230;2925267139,3000000;148793,0000000
